"Name","Count"
"clouds","9"
"rage","9"
"cease","9"
"flying","9"
"spare","9"
"treasure","9"
"portion","9"
"wallet","9"
"ram","9"
"wretch","9"
"trial","9"
"fancy","9"
"fountain","9"
"greatly","9"
"cause","9"
"prophet","9"
"small","9"
"laughing","9"
"beautifully","9"
"raiment","9"
"helmet","9"
"gifts","9"
"cheeks","9"
"months","9"
"elsewhere","9"
"lands","9"
"sense","9"
"seals","9"
"says","9"
"cover","9"
"easily","9"
"dry","9"
"silence","9"
"Phemius","9"
"worn","9"
"shirts","9"
"working","9"
"miserable","9"
"grieving","9"
"wooded","9"
"perish","9"
"row","9"
"frightened","9"
"aloud","9"
"contest","9"
"double","9"
"salt","9"
"aldermen","9"
"Laodamas","9"
"cows","9"
"south","9"
"councillors","9"
"gale","9"
"reason","9"
"doubt","9"
"younger","9"
"early","9"
"daybreak","9"
"shut","9"
"travelled","9"
"worked","9"
"tall","9"
"drawn","9"
"known","9"
"respected","9"
"farm","9"
"danger","9"
"hearing","9"
"sailors","9"
"treating","9"
"fifty","9"
"dwell","9"
"mountains","9"
"consider","9"
"suppliant","9"
"delighted","9"
"growing","9"
"favour","9"
"Telemachus's","9"
"five","9"
"putting","9"
"troubles","9"
"holding","9"
"second","9"
"ere","9"
"eagle","9"
"ocean","9"
"doorway","9"
"hate","8"
"yours","8"
"takes","8"
"homeward","8"
"wants","8"
"prevent","8"
"scar","8"
"basket","8"
"telling","8"
"handle","8"
"prize","8"
"figure","8"
"axes","8"
"Ajax","8"
"thrice","8"
"order","8"
"thither","8"
"quiet","8"
"Sirens","8"
"hawsers","8"
"wherever","8"
"chiefs","8"
"islands","8"
"loss","8"
"entered","8"
"Later","8"
"mortals","8"
"lot","8"
"swear","8"
"couple","8"
"Idomeneus","8"
"rising","8"
"tear","8"
"thrown","8"
"grapes","8"
"alike","8"
"blue","8"
"burnt","8"
"wooing","8"
"complain","8"
"looks","8"
"Piraeus","8"
"skilled","8"
"line","8"
"goodly","8"
"dance","8"
"laughed","8"
"Saturn","8"
"substance","8"
"suppliants","8"
"ones","8"
"lashed","8"
"sky","8"
"rise","8"
"admired","8"
"agreed","8"
"Aeolus","8"
"footstool","8"
"corn","8"
"sheer","8"
"woke","8"
"famous","8"
"persuade","8"
"cities","8"
"East","8"
"cloud","8"
"sort","8"
"yonder","8"
"Hercules","8"
"coast","8"
"tongue","8"
"taller","8"
"divided","8"
"Sparta","8"
"served","8"
"law","8"
"voices","8"
"satisfied","8"
"prove","8"
"milk","8"
"sometimes","8"
"wanting","8"
"nearly","8"
"ewes","8"
"shelter","8"
"yoke","8"
"burning","8"
"yield","8"
"wandering","8"
"quantity","8"
"staying","8"
"disgrace","8"
"mother's","8"
"letting","8"
"host","8"
"catch","8"
"rites","8"
"seized","8"
"veil","8"
"broken","8"
"wore","8"
"smote","8"
"girded","8"
"stretched","8"
"'We","8"
"avenge","8"
"sleeping","8"
"crossed","8"
"Agelaus","8"
"fresh","8"
"breath","8"
"manage","8"
"waste","8"
"memory","8"
"opposite","8"
"feared","8"
"wheat","8"
"piteously","8"
"sending","8"
"quarter","8"
"loom","8"
"besides","8"
"ruin","8"
"Mount","8"
"fed","8"
"changed","8"
"lotus","8"
"heat","8"
"joy","8"
"torches","8"
"message","8"
"finding","8"
"dress","8"
"herds","7"
"power","7"
"nymph","7"
"prepare","7"
"nights","7"
"everlasting","7"
"twisted","7"
"join","7"
"consult","7"
"stern","7"
"haste","7"
"difficulty","7"
"spring","7"
"busy","7"
"win","7"
"midst","7"
"ewer","7"
"sacrificed","7"
"feasted","7"
"dreadful","7"
"gladly","7"
"murder","7"
"protection","7"
"milked","7"
"moon","7"
"felt","7"
"change","7"
"people's","7"
"fetched","7"
"older","7"
"beam","7"
"burned","7"
"lifted","7"
"gateway","7"
"bethought","7"
"swim","7"
"drop","7"
